Minibatch,Avg Reward,Min Reward,Max Reward,Avg Episode Length,Min Episode Length,Max Episode Length
1,57.049739583333334,-8.833333333333334,138.15,144.53125,77,275
2,66.24157986111112,-5.263888888888889,198.24166666666665,158.3125,77,383
3,58.68020833333334,-14.602777777777778,266.5444444444444,143.96875,77,438
4,62.731510416666666,-10.308333333333334,189.21666666666667,146.46875,77,383
5,53.06597222222222,-10.572222222222223,146.43333333333334,130.1875,77,275
6,60.59678819444444,-14.0,215.88888888888889,141.40625,77,329
7,57.913888888888884,3.938888888888888,138.2111111111111,133.03125,77,275
8,45.32282986111111,6.244444444444444,83.73888888888888,121.15625,77,275
9,49.64444444444444,-14.466666666666667,151.1472222222222,127.375,77,222
10,69.84713541666667,5.338888888888889,212.725,146.21875,77,329
11,88.34279513888887,24.397222222222222,164.61388888888888,185.6875,77,383
12,92.58385416666667,10.608333333333333,252.32777777777778,174.4375,77,383
13,92.8447048611111,-3.2750000000000004,231.29444444444442,174.8125,77,493
14,124.5881076388889,16.813888888888886,253.3722222222222,219.78125,77,438
15,121.99114583333335,21.566666666666666,259.94166666666666,221.5,77,438
16,162.48428819444445,34.92777777777778,270.5805555555556,258.1875,77,438
17,185.6894097222222,17.444444444444443,382.89444444444445,315.78125,77,672
18,188.99279513888888,45.766666666666666,469.69166666666666,312.75,77,1113
19,219.0868923611111,50.263888888888886,479.5027777777778,350.53125,77,781
20,222.73776041666667,26.90833333333333,500.39722222222224,342.1875,77,836
21,232.13862847222222,43.141666666666666,611.9027777777777,392.09375,77,1113
22,252.09513888888887,48.56388888888889,742.2,422.09375,77,1420
23,312.4293402777778,94.38333333333333,1043.2611111111112,477.8125,122,1586
24,201.1407986111111,53.90833333333333,478.3777777777778,296.28125,122,836
25,119.85416666666667,46.88611111111111,324.2527777777778,185.125,77,618
26,153.50538194444442,51.324999999999996,572.1722222222222,236.34375,77,905
27,108.81380208333334,-15.905555555555555,312.275,183.65625,77,383
28,76.09201388888889,-16.333333333333332,266.68333333333334,158.625,77,383
29,99.27873263888888,-16.333333333333332,353.21944444444443,174.90625,77,438
30,85.26909722222221,-16.333333333333332,274.7527777777778,159.71875,77,438
31,87.52065972222222,-16.333333333333332,311.38055555555553,150.125,77,383
32,91.1900173611111,-11.55,265.0027777777778,150.40625,77,329
33,107.1146701388889,64.43611111111112,250.34166666666667,167.84375,122,329
34,134.27100694444442,53.02222222222222,267.81666666666666,197.375,77,383
35,111.57534722222222,-13.883333333333333,365.85555555555555,177.46875,77,493
36,155.36171875,60.355555555555554,415.05833333333334,234.34375,122,618
37,152.46640625,58.49166666666667,478.76666666666665,214.90625,122,672
38,157.05616319444445,58.88611111111111,364.48055555555555,230.4375,122,493
39,137.51996527777777,59.525,436.6222222222222,210.375,122,618
40,111.78602430555554,58.894444444444446,305.1361111111111,177.6875,122,383
41,139.77795138888888,38.58611111111111,383.95,205.9375,77,564
42,101.46944444444443,-15.088888888888889,259.40833333333336,165.3125,77,329
43,89.26163194444445,-15.594444444444443,299.60555555555555,156.59375,77,383
44,103.28776041666666,-15.594444444444443,330.9888888888889,178.5625,77,438
45,125.01041666666666,-15.555555555555555,315.7611111111111,202.46875,77,383
46,148.80607638888887,34.26111111111111,415.22222222222223,227.25,122,618
47,145.5448784722222,-15.030555555555555,347.71666666666664,219.0625,77,438
48,130.53515625,-16.002777777777776,283.4222222222222,208.09375,77,438
49,165.7365451388889,-15.730555555555556,346.4138888888889,251.8125,77,493
50,146.04071180555556,-15.75,309.93333333333334,226.9375,77,564
51,129.22317708333333,-15.36111111111111,301.1722222222222,213.125,77,383
52,136.02951388888889,-15.322222222222221,314.3277777777778,210.125,77,438
53,105.04973958333332,-15.4,301.2416666666667,188.09375,77,383
54,119.36805555555554,18.605555555555554,333.8388888888889,198.78125,122,383
55,127.53671874999999,-15.75,302.6111111111111,209.3125,77,493
56,152.4662326388889,-14.311111111111112,340.15833333333336,238.1875,77,438
57,135.9753472222222,-15.166666666666666,300.9583333333333,219.625,77,438
58,150.1267361111111,-16.06111111111111,328.84722222222223,232.59375,77,438
59,118.34730902777777,-16.31388888888889,249.85833333333332,186.40625,77,329
