Minibatch,Avg Reward,Min Reward,Max Reward,Avg Episode Length,Min Episode Length,Max Episode Length
1,40.18828125,-7.6305555555555555,130.69444444444443,108.5,77,275
2,37.692447916666666,-15.205555555555556,139.83055555555555,131.0,77,329
3,77.17925347222221,-0.6972222222222226,201.45555555555555,165.65625,77,383
4,98.84878472222223,15.605555555555554,226.19722222222222,193.46875,77,383
5,89.58012152777778,1.6833333333333327,190.26666666666665,180.59375,77,383
6,104.66866319444443,22.625,232.59444444444443,200.3125,77,493
7,117.32638888888889,24.083333333333332,221.53333333333333,217.0,77,438
8,131.4345486111111,32.69722222222222,261.325,236.40625,77,493
9,138.6993923611111,34.23611111111111,283.5361111111111,250.25,77,564
10,105.70251736111112,32.96944444444444,237.76666666666665,192.375,77,438
11,125.59366319444445,19.755555555555556,316.3222222222222,227.90625,77,618
12,145.51909722222223,-8.086111111111112,335.5361111111111,269.96875,77,726
13,155.0605034722222,18.01388888888889,419.18055555555554,280.125,77,781
14,126.04947916666666,12.452777777777778,274.775,223.6875,77,493
15,147.57855902777777,36.480555555555554,256.675,262.65625,77,564
16,114.53203124999999,12.688888888888888,238.41944444444442,213.0,77,438
17,104.86354166666666,20.95,234.28055555555554,192.1875,77,438
18,122.84930555555555,11.563888888888888,264.34722222222223,218.40625,77,493
19,135.49765625,47.608333333333334,250.25277777777777,250.15625,77,438
20,110.21319444444444,7.8,212.23055555555555,210.125,77,438
21,144.3308159722222,42.96944444444444,339.4888888888889,263.78125,77,718
22,95.6306423611111,-2.691666666666667,281.34722222222223,191.96875,77,655
23,142.28307291666664,-0.9861111111111116,391.56388888888887,276.1875,77,836
24,137.14835069444445,1.2666666666666662,516.3722222222221,243.09375,77,1063
25,144.3697048611111,15.04722222222222,280.47777777777776,245.375,77,565
26,158.89505208333333,6.866666666666666,422.60555555555555,301.96875,77,961
27,124.83411458333333,3.4222222222222216,365.63055555555553,226.0625,77,672
28,125.55477430555555,25.977777777777778,375.5361111111111,223.03125,77,781
29,129.9514756944444,35.175,326.875,240.3125,77,728
30,137.30607638888887,40.105555555555554,346.9861111111111,239.0,77,619
31,156.7823784722222,31.133333333333333,373.9944444444444,277.875,77,726
32,148.44288194444445,34.71111111111111,414.34444444444443,268.5,77,953
33,167.17873263888887,32.49722222222222,424.84444444444443,311.875,77,726
34,122.8995659722222,23.552777777777777,279.22499999999997,206.53125,77,493
35,131.08602430555555,38.638888888888886,433.2972222222222,229.03125,77,781
36,182.32786458333334,40.11944444444444,515.4194444444444,359.28125,77,1113
37,145.6453125,26.177777777777777,355.9944444444444,267.9375,77,836
38,151.49010416666667,38.68055555555555,382.7888888888889,271.84375,77,836
39,185.5271701388889,33.12777777777778,434.75,319.65625,77,726
40,146.8642361111111,19.502777777777776,396.46666666666664,259.59375,77,836
41,167.34626736111113,19.572222222222223,368.175,289.96875,77,672
42,166.77387152777777,30.083333333333332,354.4611111111111,287.84375,77,709
43,172.12109375,30.094444444444445,438.9472222222222,280.53125,77,673
44,148.51493055555557,45.14722222222222,368.7111111111111,254.34375,77,618
45,163.55086805555555,24.116666666666667,393.81666666666666,294.1875,77,726
46,127.1814236111111,-4.3805555555555555,300.53055555555557,224.34375,77,564
47,161.03194444444443,24.227777777777778,287.19166666666666,270.6875,77,493
48,168.27725694444445,30.18611111111111,411.09999999999997,307.1875,77,907
49,146.48428819444445,22.394444444444442,322.3305555555555,259.34375,77,618
50,162.1199652777778,47.53611111111111,346.97499999999997,284.125,77,618
51,133.43576388888889,31.666666666666664,270.25,235.65625,77,493
52,147.45468749999998,4.672222222222222,304.47499999999997,262.90625,77,565
53,147.38203124999998,23.244444444444444,417.9083333333333,272.0,77,726
54,159.4578125,32.06944444444444,324.06944444444446,294.28125,77,618
55,143.1532986111111,17.616666666666664,398.7,258.90625,77,726
56,142.03463541666667,25.113888888888887,358.2611111111111,259.03125,77,726
57,147.5964409722222,21.51388888888889,379.3305555555555,272.125,77,673
58,128.7109375,33.105555555555554,341.6194444444444,231.84375,77,726
59,137.46041666666667,26.905555555555555,261.0722222222222,237.34375,77,438
60,159.37170138888888,34.53611111111111,352.7083333333333,275.46875,77,727
61,170.40677083333333,70.20833333333333,409.67499999999995,300.375,122,966
